grid,num,datetime
4101,5,2017/8/8 11:00
4101,5,2017/8/8 12:00
4101,5,2017/8/8 13:00
4101,5,2017/8/8 14:00
5172,6,2017/8/9 5:00
5172,6,2017/8/9 6:00
5499,6,2017/8/8 15:00
5499,6,2017/8/8 16:00
5499,6,2017/8/8 17:00
5499,6,2017/8/8 18:00
5499,6,2017/8/9 8:00
5499,6,2017/8/9 9:00
5499,6,2017/8/9 10:00
5500,12,2017/8/8 9:00
5500,12,2017/8/8 10:00
5500,18,2017/8/8 11:00
5500,18,2017/8/8 12:00
5500,26,2017/8/8 13:00
5500,26,2017/8/8 14:00
5500,26,2017/8/8 15:00
5500,26,2017/8/8 16:00
5500,26,2017/8/8 17:00
5500,26,2017/8/8 18:00
5500,26,2017/8/8 19:00
5500,6,2017/8/9 2:00
5500,6,2017/8/9 3:00
5500,6,2017/8/9 4:00
5500,12,2017/8/9 5:00
5500,12,2017/8/9 6:00
5500,12,2017/8/9 7:00
5500,12,2017/8/9 8:00
5500,12,2017/8/9 9:00
5500,20,2017/8/9 10:00
5500,20,2017/8/9 11:00
5500,20,2017/8/9 12:00
5500,20,2017/8/9 13:00
5500,20,2017/8/9 14:00
5500,20,2017/8/9 15:00
5500,20,2017/8/9 16:00
5500,26,2017/8/9 17:00
5500,26,2017/8/9 18:00
5500,20,2017/8/9 19:00
5500,20,2017/8/9 20:00
5500,20,2017/8/9 21:00
5500,20,2017/8/9 22:00
5500,6,2017/8/9 23:00
5527,10,2017/8/8 10:00
5527,10,2017/8/8 11:00
5527,10,2017/8/8 12:00
5527,10,2017/8/8 13:00
5527,16,2017/8/8 14:00
5527,21,2017/8/8 15:00
5527,21,2017/8/8 16:00
5527,6,2017/8/8 17:00
5527,6,2017/8/9 7:00
5527,11,2017/8/9 8:00
5527,11,2017/8/9 9:00
5527,17,2017/8/9 10:00
5527,21,2017/8/9 11:00
5527,21,2017/8/9 12:00
5527,12,2017/8/9 13:00
5527,12,2017/8/9 14:00
5527,12,2017/8/9 15:00
5527,12,2017/8/9 16:00
5527,6,2017/8/9 17:00
5527,6,2017/8/9 18:00
5527,6,2017/8/9 19:00
5527,6,2017/8/9 20:00
5527,6,2017/8/9 21:00
5527,6,2017/8/9 22:00
5527,6,2017/8/9 23:00
5855,6,2017/8/8 9:00
5855,6,2017/8/8 10:00
5858,6,2017/8/8 9:00
5858,6,2017/8/8 10:00
5859,12,2017/8/8 9:00
5859,12,2017/8/8 10:00
5859,12,2017/8/8 11:00
5859,12,2017/8/8 12:00
5859,12,2017/8/8 13:00
5859,12,2017/8/8 14:00
5859,12,2017/8/8 15:00
5859,12,2017/8/8 16:00
5859,12,2017/8/8 17:00
5859,12,2017/8/8 18:00
5859,12,2017/8/8 19:00
5859,6,2017/8/9 0:00
5859,6,2017/8/9 1:00
5859,6,2017/8/9 2:00
5859,6,2017/8/9 3:00
5859,6,2017/8/9 4:00
5859,6,2017/8/9 5:00
5859,12,2017/8/9 6:00
5859,12,2017/8/9 7:00
5859,12,2017/8/9 8:00
5859,12,2017/8/9 9:00
5859,12,2017/8/9 10:00
5859,12,2017/8/9 11:00
5859,12,2017/8/9 12:00
5859,12,2017/8/9 13:00
5859,12,2017/8/9 14:00
5859,12,2017/8/9 15:00
5859,12,2017/8/9 16:00
5859,12,2017/8/9 17:00
5859,12,2017/8/9 18:00
5859,12,2017/8/9 19:00
5859,12,2017/8/9 20:00
5859,12,2017/8/9 21:00
5859,6,2017/8/9 22:00
5859,6,2017/8/9 23:00
6211,6,2017/8/9 6:00
6211,6,2017/8/9 7:00
6211,6,2017/8/9 8:00
6211,6,2017/8/9 9:00
6211,6,2017/8/9 10:00
6211,6,2017/8/9 11:00
6211,6,2017/8/9 12:00
6211,6,2017/8/9 13:00
6211,6,2017/8/9 14:00
6211,6,2017/8/9 15:00
6212,5,2017/8/8 9:00
6212,5,2017/8/8 10:00
6212,5,2017/8/8 11:00
6212,5,2017/8/8 12:00
6212,5,2017/8/8 13:00
6212,5,2017/8/8 14:00
6212,5,2017/8/8 15:00
6212,5,2017/8/8 18:00
6212,5,2017/8/8 19:00
6212,5,2017/8/9 0:00
6212,5,2017/8/9 7:00
6212,5,2017/8/9 8:00
6212,5,2017/8/9 9:00
6212,5,2017/8/9 10:00
6212,5,2017/8/9 11:00
6212,5,2017/8/9 12:00
6212,5,2017/8/9 13:00
6212,5,2017/8/9 14:00
6212,5,2017/8/9 15:00
6212,5,2017/8/9 16:00
6212,5,2017/8/9 17:00
6212,5,2017/8/9 18:00
6212,5,2017/8/9 19:00
6212,5,2017/8/9 20:00
6212,5,2017/8/9 21:00
6212,5,2017/8/9 22:00
6215,6,2017/8/9 12:00
6215,6,2017/8/9 13:00
6215,6,2017/8/9 16:00
6215,6,2017/8/9 17:00
6216,86,2017/8/8 9:00
6216,92,2017/8/8 10:00
6216,92,2017/8/8 11:00
6216,98,2017/8/8 12:00
6216,92,2017/8/8 13:00
6216,104,2017/8/8 14:00
6216,95,2017/8/8 15:00
6216,95,2017/8/8 16:00
6216,95,2017/8/8 17:00
6216,112,2017/8/8 18:00
6216,107,2017/8/8 19:00
